study_key,nct_id,brief_title,official_title,acronym,org_study_id,brief_summary,detailed_desc,org_name,org_class,responsible_party,study_type,patient_registry,enrollment_type,enrollment_count,design_allocation,design_intervention_model,design_intervention_model_desc,design_primary_purpose,design_observational_model,design_time_perspective,design_masking,biospec_retention,biospec_desc,eligibility_criteria,healthy_volunteers,sex,min_age,max_age,population_desc,sampling_method,overall_status,last_known_status,status_verified_date,start_date,start_date_type,first_submit_date,last_update_submit_date,completion_date,completion_date_type,why_stopped,has_expanded_access,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_us_export,ipd_sharing,ipd_desc,ipd_time_frame,ipd_access_criteria,ipd_url,version_holder,has_results,last_updated,limitations_desc,certain_agreement_pi_sponsor_employee,certain_agreement_restrictive,certain_agreement_other_details,certain_agreement_restriction_type,poc_title,poc_organization,poc_email,poc_phone,poc_phone_ext,sub_tracking_estimated_results_date
6a9bb238f39ba1ea,NCT00998335,Effect of a Basal/Pre-Meal Insulin Strategy (Detemir/Aspart) on Insulin Secretion and Action in Type 2 Diabetes,Effect of a Basal/Pre-Meal Insulin Strategy (Detemir/Aspart) to Improve Insulin Secretion and Action in Subjects With Type 2 Diabetes,,20060167,"The optimal insulin therapy in T2DM is controversial and its impact on nonalcoholic fatty liver disease (NAFLD) has not been systematically studied before, and in particular, never when using the new insulin formulations detemir (Levemir®) or aspart (Novolog®). This study is to determine the effect on hepatic steatosis and insulin secretion/action of lowering the fasting plasma glucose (FPG) to target with once daily basal insulin detemir alone or combining insulin detemir with premeal insulin aspart in patients with uncontrolled type 2 diabetes mellitus (T2DM).

In the first 3 months the investigators will optimize metabolic control in all patients with intensive basal (bedtime) detemir insulin aiming at a normal fasting plasma glucose. After this treatment period, patients will be randomized in the second 3 months in a 2:1 ratio to insulin detemir or detemir plus aspart. The investigators propose that insulin will improve day-long glycemic control and A1c, reduce hepatic steatosis (NAFLD) (primary endpoint) and insulin secretion/sensitivity being well tolerated while causing minimal weight gain and hypoglycemia (secondary endpoints). The study will allow to assess if there is an additional benefit of adding pre-meal rapid-acting insulin aspart to basal insulin to these endpoints.","The control of hyperglycemia in T2DM ameliorates the metabolic abnormalities of T2DM but whether this improves hepatic steatosis has not been examined carefully with the use of improved insulin formulations (long-acting insulins detemir or glargine, alone or combined with pre-meal short-acting insulins). Most research studies have focused on glycemic control without a careful examination to the underlying mechanisms, with some of these studies reporting on improved hepatic and muscle insulin sensitivity. The investigators have found in the laboratory that intensified insulin therapy in T2DM is associated with enhanced glycogen synthase fractional velocity and non-oxidative glucose disposal, but with no improvement at the level of insulin-stimulated insulin receptor tyrosine phosphorylation, hexokinase II mRNA or enzyme function, phosphatidylinositol 3-kinase (PI 3-kinase) associated with IRS-1, or Akt phosphorylation. Our work did not examine hepatic steatosis or insulin secretion/action, nor was designed to distinguish between the relative contribution of reduced glucotoxicity on insulin sensitivity vs. beta-cell function from pre-meal regular vs. NPH insulin. It is possible that the beneficial effects of insulin therapy of reduced plasma glucose and FFA concentrations may be offset by excessive hyperinsulinemia and weight gain from the use of insulins with suboptimal pharmacokinetics compared to the newer insulin formulations.

Insulin detemir is an insulin analogue approved in 2005 by the FDA. It is a long-acting insulin analogue that has shown to be more predictable in achieving therapeutic plasma insulin levels compared to NPH insulin. This is associated with several clinical benefits, such as better glycemic control, less hypoglycemia, modest weight gain and better quality of life for patients with type 2 diabetes. If gluco-lipotoxicity likely play an important role in the development of hepatic steatosis (NAFLD) in T2DM the investigators speculate that if reversed by a strategy of basal long-acting insulin (insulin detemir) alone, or combined with a rapid-acting analog (pre-meal insulin aspart) may be a good strategy for the treatment of T2DM.",University of Florida,OTHER,SPONSOR,INTERVENTIONAL,,ACTUAL,30.0,RANDOMIZED,PARALLEL,,TREATMENT,,,NONE,,,"Inclusion Criteria:

To participate patients must:

1. Be able to communicate meaningfully with the Investigator and be legally competent to provide written informed consent.
2. Female patients must be non-lactating and must either be at least two years post-menopausal, or be using adequate contraceptive precautions (i.e. oral contraceptives, approved hormonal implant, intrauterine device, diaphragm with spermicide, condom with spermicide), or be surgically sterilized (i.e. bilateral tubal ligation, bilateral oophorectomy). Female patients who have undergone a hysterectomy are eligible for participation in the study. Female patients (except for those patients who have undergone a hysterectomy or a bilateral oophorectomy) are eligible only if they have a negative pregnancy test throughout the study period.
3. Age range of 18 to 70 years (inclusive).
4. Patients must have been on a stable dose of allowed chronic medications for two months prior to entering the double-blind treatment period.
5. All participants must have the following laboratory values:

   * Hemoglobin ≥ 12 g/dl in males or ≥ 11 g/dl in females
   * Serum creatinine ≤ 1.5 mg/dl
   * AST (SGOT) ≤ 2.5 times upper limit of normal
   * ALT (SGPT) ≤ 2.5 times upper limit of normal
   * Alkaline phosphatase ≤ 2.5 times upper limit of normal

Exclusion Criteria:

Patients will be excluded if any of the following criteria are present:

1. Individuals with type 1 diabetes or type 2 diabetes and a FPG ≥ 300 mg/dl.
2. Subjects on sulfonylureas, metformin and/or TZDs unless the dose has been stable for at least 2 months prior to study entry.
3. Patients on any of the following medications: thiazide or furosemide diuretics, beta-blockers, or other chronic medications with known adverse effects on glucose tolerance levels unless the patient has been on stable doses of such agents for the past two months before entry into the study. Patients may be taking stable doses of estrogens or other hormonal replacement therapy if the patient has been on these agents for the prior two months. Patients taking systemic glucocorticoids will be excluded.
4. Past (within 1 year) or current history of alcohol abuse.
5. Patients will be excluded if there is a history of clinically significant heart disease (New York Heart Classification greater than grade II), peripheral vascular disease (history of claudication), or pulmonary disease (dyspnea on exertion of one flight or less; abnormal breath sounds on auscultation) or chronic renal failure (serum creatinine greater than 1.5 mg/dl).",False,ALL,18 Years,70 Years,,,COMPLETED,,2016-06,2007-06,,2009-10-19,2016-08-22,2010-02,ACTUAL,,False,False,,,,,,,,,,2025-12-26,True,2016-09-28,,False,False,,,Dr. Kenneth Cusi,University of Florida,KCusi@ufl.edu,352-273-7236,,
43a438ab0089e29e,NCT04579835,Twin A Breech External Cephalic Version Intervention Trial (TWEXIT),Twin A Breech External Cephalic Version Intervention Trial,TWEXIT,EA2/116/20,A prospective study assessing the use of external cephalic version for the management of Twin A breech presentation in twin pregnancy.,The primary goal of the study is to determine the success rate of Twin A external Cephalic Version in our obstetric clinic and to determine new favorable sonographic criteria associated with a successful attempt that have not been investigated before.,"Charite University, Berlin, Germany",OTHER,PRINCIPAL_INVESTIGATOR,OBSERVATIONAL,False,ESTIMATED,45.0,,,,,COHORT,PROSPECTIVE,,,,"Inclusion Criteria:

* Presence of the written consent of the patients.
* The patients must be over 18 years old .
* No limit in the ability to consent.

Exclusion Criteria:

* Age under 18
* Limited ability to consent
* Placenta previa
* Fetal abnormalities",True,FEMALE,18 Years,,All patients presenting with Twin A breech presentation to the antenatal clinic,NON_PROBABILITY_SAMPLE,RECRUITING,,2024-02,2020-09-28,ACTUAL,2020-09-28,2024-02-05,2026-09-28,ESTIMATED,,False,True,False,False,,,NO,,,,,2025-12-26,False,2024-02-06,,,,,,,,,,,
1d0f612fafef806e,NCT03581435,A Study of Circulating Exosome Proteomics In Gallbladder Carcinoma Patients,A Study of Circulating Exosome Proteomics In Gallbladder Carcinoma Patients,EXOGBC001,EXOGBC001,"This research will be the first study for exosome purified from blood in gallbladder carcinoma patients. Proteomics studies will be done in both tumor tissue and the circulating exosome from blood specimens. Then, the potential prognostic and predictive biomarkers will be searched by bioinformatics to find the correlations between exosome biomarkers and gallbladder carcinoma.","Background:

Exosomes are formed by inward budding of late endosomes, producing multivesicular bodies (MVBs), and are released into the environment by fusion of the MVBs with the plasma membrane. It has been demonstrated that the content and function of exosomes depends on the originating cell and the conditions under which they are produced. Tumor exosome production, transfer and education of bone marrow cells supports tumor growth and metastasis.

Aims of the study:

Proteomics studies will be done in both tumor tissue and the circulating exosome from the gallbladder carcinoma patients. Then, the potential prognostic and predictive biomarkers will be searched by bioinformatics to find the correlations between exosome biomarkers and gallbladder carcinoma.

Materials and Methods:

The investigators will conduct a case-control study in 11 hospitals from China. Cases will be the patients with newly-diagnosed gallbladder carcinoma. The controls will be matched （1：1）by sex，race and age which will be selected from the patients receiving cholecystectomy due to gallstones from the same hospital with the cases. A total of 50 patients with gallbladder carcinoma will be recruited. The investigators will obtain the blood and tumor tissue samples for further analysis of proteomics studies. Exosome from blood specimens will be isolated and purified by sucrose gradient ultracentrifugation. The potential prognostic and predictive biomarkers will be searched by bioinformatics to find the correlations between exosome biomarkers and gallbladder carcinoma. Data will be collected from January 2018 to December 2018.",Shanghai Jiao Tong University School of Medicine,OTHER,SPONSOR_INVESTIGATOR,OBSERVATIONAL,False,ESTIMATED,50.0,,,,,CASE_CONTROL,PROSPECTIVE,,SAMPLES_WITH_DNA,Serum Tumor tissue,"Inclusion Criteria:

* Diagnosed with gallbladder carcinoma by imaging tests (cases) Diagnosed with chronic cholecystitis by imaging tests (hospital controls)

Exclusion Criteria:

* The pathology diagnosis and imaging does not matched Patients with other malignant tumors Patients with other severe systemic diseases",True,ALL,18 Years,,The investigators will conduct a case-control study in 11 hospitals from China. Cases will be the patients with newly-diagnosed gallbladder carcinoma. The controls will be matched （1：1）by sex，race and age which will be selected from the patients receiving cholecystectomy due to gallstones from the same hospital with the cases. A total of 50 patients with gallbladder carcinoma will be recruited.,PROBABILITY_SAMPLE,UNKNOWN,RECRUITING,2018-07,2018-01-01,ACTUAL,2018-06-26,2018-07-08,2019-12-01,ESTIMATED,,False,False,False,False,,,,,,,,2025-12-26,False,2018-07-10,,,,,,,,,,,
5b271c21deacfd9f,NCT01862835,Impact of Estradiol Addback,Impact of Estradiol Addback on Somatostatin Rebound in Older Men,,13-000047,Repletion of testosterone (T) in older men drives Growth Hormone secretion after its aromatization to estradiol (E2) by potentiating endogenous GH drive.,"Systemic concentrations of Te, E2, GH, Insulin-like Growth Factor-I and IGFBP-3 decline in healthy aging men. Relative sex-steroid deprivation accentuates GH and IGF-I depletion, since Te stimulates GH and IGF-I production in older men, hypogonadal males of all ages, and patients undergoing (genotypic female-to-male) gender reassignment. Tamoxifen blocks this effect of Te, suggesting involvement of E2 in GH's stimulation in men. E2 per se stimulates GH secretion in women. Because Te is converted to E2 by aromatization in the body, we postulate that E2 is the active moiety in men also. Moreover, we hypothesize that the decline of E2 in older men contributes to the fall in GH output. This has never been tested. From a clinical vantage, understanding the mechanistic basis of Te's drive of the somatotropic axis is especially relevant in boys with pubertal failure, adults with primary hypogonadism and men with aging-related hypoandrogenemia. In relation to aging in the male, testosterone and E2 bioavailabilities fall by 35-50% in the eighth compared with third decade of life. From a medical perspective, aging is accompanied by progressive osteopenia, sarcopenia and intra-abdominal obesity. These adverse outcomes are remediable by short-term replacement with Te and/or recombinant GH, thus linking GH/Te/E2 availability with key body-compositional features.",Mayo Clinic,OTHER,PRINCIPAL_INVESTIGATOR,INTERVENTIONAL,,ACTUAL,43.0,RANDOMIZED,CROSSOVER,,BASIC_SCIENCE,,,TRIPLE,,,"Inclusion:

* 60 healthy men (ages 60 to 80 y);
* BMI 18-30 kg/m2
* Community dwelling; and voluntarily consenting

Exclusion:

* Recent use of psychotropic or neuroactive drugs (within five biological half-live);
* Obesity (outside weight range above);
* Laboratory test results not deemed physician acceptable, cholesterol \>250, triglycerides \> 300, BUN \>30 or creatinine \> 1.5 mg/dL, liver functions tests twice upper limit of normal, electrolyte abnormality, anemia; hemoglobin \<12.0 gm/dL
* Drug or alcohol abuse, psychosis, depression, mania or severe anxiety;
* Acute or chronic organ-system disease;
* Endocrinopathy, other than primary thyroidal failure receiving replacement; untreated osteoporosis
* Nightshift work or recent transmeridian travel (exceeding 3 time zones within 7 days of admission);
* Acute weight change (loss or gain of \> 2 kg in 6 weeks);
* Allergy to peanut oil (used in some injectable Te preparations)
* Unwillingness to provide written informed consent.
* PSA \> 4.0 ng/mL
* History or suspicion of prostatic disease (elevated PSA, indeterminate nodule or mass, obstructive uropathy.
* History of carcinoma (excluding localized basal cell carcinoma removed or surgically treated with no recurrence.
* History of thrombotic arterial disease (stroke, TIA, MI, angina) or deep vein thrombophlebitis.
* History of CHF, cardiac arrhythmias, congential QT prolongation, and medications used to treat cardiac arrhythmias
* Gynecomastia \> 2 cm, untreated
* Untreated gallbladder disease
* History of smoking greater than one ppd.",True,MALE,60 Years,80 Years,,,COMPLETED,,2019-06,2013-05,,2013-05-22,2019-06-05,2018-12-30,ACTUAL,,False,False,,,,,NO,,,,,2025-12-26,False,2019-06-07,,,,,,,,,,,
c3bc1273bdc0598d,NCT03767335,MEN1611 With Trastuzumab (+/- Fulvestrant) in Metastatic Breast Cancer,"Open-label, Multicentre, Phase Ib Dose-escalation Study of MEN1611, a PI3K Inhibitor Combined With Trastuzumab With or Without Fulvestrant, in Subjects With PIK3CA Mutated HER2 Positive Locally Recurrent Unresectable (Advanced) or Metastatic (a/m) Breast Cancer Progressed to Anti-HER2 Based Therapy",B-PRECISE-01,MEN1611-01,"The main purpose of this open-label, dose-escalation, phase Ib study is to identify the appropriate dose of MEN1611 to be used in combination with Trastuzumab with/without Fulvestrant for the treatment of advanced or metastatic HER2-positive breast cancer","This Phase Ib study will investigate the safety and anti-tumor activity of daily oral doses MEN1611 in combination with Trastuzumab with/without Fulvestrant in female and male patients affected by advanced or metastatic HER2-positive breast cancer. Fulvestrant will be added to the post-menopausal patients with hormone-sensitive disease.

MEN1611 is an investigational drug which blocks a protein called PI3K (phosphoinositide 3-kinase) involved in cancer cells growth. The Maximum Tolerated Dose (MTD) of MEN1611 given as single agent was assessed in a phase I trial in patients with advanced solid tumors.

This Phase IB will start with a dose escalation part (Step 1) to identify the MTD of MEN1611 given in combination with Trastuzumab with/without Fulvestrant.

The study will continue with a cohort expansion (Step 2) to investigate the anti-tumor activity of the selected MEN1611 dose level considered to be tolerable by a Safety Review Committee.",Menarini Group,INDUSTRY,SPONSOR,INTERVENTIONAL,,ACTUAL,62.0,NA,SEQUENTIAL,Step 1 Dose escalation / Step 2 Cohort expansion in two selected breast cancer sub-populations,TREATMENT,,,NONE,,,"Main Inclusion Criteria:

* Histologically confirmed invasive adenocarcinoma of the breast
* Known HER2+ breast cancer
* Advanced or metastatic breast cancer harbouring PIK3CA mutation on tissue sample
* \> 2 lines of anti-HER2 based regimens with at least 1 regimen with trastuzumab
* Radiological documented evidence of progressive disease
* Life expectancy ≥ 12 weeks
* Eastern Cooperative Oncology Group (ECOG) performance status ≤ 2

Main Exclusion Criteria:

* Previous treatment with PI3K inhibitors
* Brain metastases untreated, unless treated \> 4 weeks and only if clinically stable and not receiving corticosteroids
* History of clinically significant bowel disease
* ≥ grade 2 diarrhoea
* History of significant, uncontrolled, or active cardiovascular disease
* Any serious and/or unstable pre-existing psychiatric or neurologic illness or other conditions that could interfere with patient's safety
* Not controlled diabetes mellitus (glycated haemoglobin \[HbA1c\] \>7%) and fasting plasma glucose \>126 mg/dL
* Concurrent chronic treatment with steroids, as immunosuppressant, or another immunosuppressive agent",False,ALL,18 Years,,,,COMPLETED,,2025-04,2018-11-13,ACTUAL,2018-12-05,2025-06-09,2024-02-23,ACTUAL,,False,False,True,False,,False,,,,,,2025-12-26,True,2025-06-26,,False,True,"The results of the study cannot be submitted for presentation, abstract, poster exhibition, or publication by the investigator until Menarini Ricerche S.p.A. has reviewed/commented and agreed to any publication.",OTHER,Clinical Sciences,Menarini Ricerche S.p.A.,martine.piccart@bordet.be,+39 05556809990,,
acd95ea0f9847cd4,NCT06574035,Michigan Men's Diabetes Project III(MenDIII): Mind and Motion,Michigan Men's Diabetes Project 3 (MenD 3): Mind and Motion,MenDIII,HUM00256519,"The Michigan Men's Diabetes Project III: Mind \& Motion is an 7-month pilot randomized clinical trial. The investigators are looking to recruit 80 Black men with type 2 diabetes (T2D) (need to have diagnosis for at least one year) that are over the age of 18. Participants also must be under the care of a physician for their diabetes, self report an Hemoglobin A1c (A1C) of 7.0% or more in the last year, be willing to participate in study events (weekly physical activity, exercise and Cognitive Behavioral Therapy (CBT) sessions, group discussion sessions, and in-person health assessments), have reliable internet access (steady internet connection or unlimited data) that will allow them to use a tablet/phone/computer to complete study related tasks, live in the Wayne or Washtenaw County, and have reliable transportation to in-person events. All participants will receive 8 hours/sessions of cognitive behavioral therapy. Participants randomized to the intervention arm will also receive 8 sessions of guided exercise at the same time. Following that they will also receive 8 group discussion sessions that will serve as on-going support. All sessions will be help via Zoom. Additionally, all participants will participate in The 4 health assessments will take place at baseline, 10 weeks, 18 weeks, and 30 weeks.",,University of Michigan,OTHER,PRINCIPAL_INVESTIGATOR,INTERVENTIONAL,,ESTIMATED,80.0,RANDOMIZED,PARALLEL,,HEALTH_SERVICES_RESEARCH,,,NONE,,,"Inclusion Criteria:

* African American/Black males
* age 18 years or older
* ambulatory status
* diagnosis of Type 2 Diabetes (T2D) for one year duration or longer
* be under the care of a physician for their diabetes, self report an A1C of 7.0% or more in the last year
* be willing to participate in study events (weekly physical activity, exercise and CBT sessions, group discussion sessions, and in-person health assessments)
* have reliable internet access (steady internet connection or unlimited data) that will allow them to use a tablet/phone/computer to complete study related tasks
* live in the Wayne or Washtenaw County\\
* have reliable transportation to in-person events

Exclusion Criteria:

* stage 2 hypertension as defined by Joint National Committee (JNC) VIII
* recent cardiac events
* recent laser surgery for proliferative retinopathy
* history of stroke
* lower limb amputation
* peripheral neuropathy
* severe Chronic Obstructive Pulmonary Disease (COPD) (e.g., basal oxygen)
* class III or IV heart failure
* medical instability.

Per American College of Sports Medicine (ACSM) guidelines, medical exclusion criteria will also include currently experiencing:

* ongoing unstable angina
* uncontrolled cardiac arrhythmia with hemodynamic compromise
* active endocarditis
* symptomatic severe aortic stenosis
* acute myocarditis or pericarditis
* acute aortic dissection
* acute pulmonary embolism
* pulmonary infarction
* deep venous thrombosis
* physical disability that precludes safe and adequate testing
* chest discomfort with exertion
* unreasonable breathlessness, or dizziness, fainting, or blackouts.

As part of the screening process, the investigators will ask the participant to self-report on these conditions. Participants who are currently receiving psychotherapy services for the treatment of depression from a mental health provider will be excluded. Participants who are currently receiving only medication management from a psychiatrist will be included.

If you are interested in the study, please complete our screening survey: https://redcapproduction.umms.med.umich.edu/surveys/?s=JNPPEDANX7KLPPF9. Thank you so much!",False,MALE,18 Years,,,,RECRUITING,,2025-03,2025-01-13,ACTUAL,2024-08-21,2025-03-19,2026-06,ESTIMATED,,False,True,False,False,,,,,,,,2025-12-26,False,2025-03-24,,,,,,,,,,,
f2515956dfa89d56,NCT01578135,French National Registry of Children Born Small for Gestational Age Treated With Somatropin,French National Longitudinal Prospective Follow-up of Children Born Small for Gestational Age and Treated With Norditropin SimpleXx (French Health Authorities Commitment),,GHSGA-1757,"This study is conducted in Europe. The aim of the study is to describe the patient population and therapeutic practices (study phase I), assess efficacy on growth and adult height and assess tolerance of somatropin (Norditropin® SimpleXx®) (study phase II)",,Novo Nordisk A/S,INDUSTRY,SPONSOR,OBSERVATIONAL,False,ACTUAL,291.0,,,,,COHORT,PROSPECTIVE,,,,"Inclusion Criteria:

* Born small for gestational age",False,ALL,,,"Phase I: All patients born SGA treated with Norditropin® SimpleXx® (somatropin) whether they were previously treated with another growth hormone for this indication or not from the 29th of April 2005 until 29th of April 2010.

Phase II: Sub-population randomly selected (every 5th patient being included in registry in study phase I).",NON_PROBABILITY_SAMPLE,COMPLETED,,2022-10,2007-03-18,ACTUAL,2012-04-13,2022-10-19,2018-10-09,ACTUAL,,False,False,True,False,,,,,,,,2025-12-26,False,2022-10-20,,,,,,,,,,,
5e5a3ab7edc0af48,NCT04665635,Rectosigmoid Resection vs Seromuscular Tumor Shaving in Ovarian Cancer Surgery,Comparison of Rectosigmoid Resection and Seromuscular Tumor Shaving Methods in Ovarian Cancer Surgery (BROSEOC),,105/17- Ov01,"Ovarian cancer is the most common cause of death in gynecological cancer. Approximately 75% of epithelial ovarian cancers are detected at an advanced stage. Metastasis and spread are mostly through transperitoneal planting and neighborhood by shedding from the ovarian surface. Metastasis mostly occurs in the peritoneum, omentum, and intestines. The rectosigmoid colon is the main part of the intestine affected by metastasis due to its neighborhood.

Treatment in ovarian cancer consists of a combination of cytoreduction surgery and platinum-based chemotherapy. Surgery is the basis of the treatment, and the main goal is to achieve no residual visible tumor (complete cytoreduction: R0). The residual tumor is one of the main factors affecting survival and reflects the possibilities of the surgical center and the team. Multiple surgical procedures (total hysterectomy, bilateral salpingo-oophorectomy, total omentectomy, peritonectomy, retroperitoneal lymphadenectomies such as pelvic and paraaortic, bowel resections, splenectomy, distal pancreatectomy, various resections related to the bladder, liver, stomach, and diaphragm) may be required to achieve complete or optimal cytoreduction.

In the involvement of the rectosigmoid colon, primarily the serosa, then the muscular layer and finally the mucosa are infiltrated due to the nature of the spread, and therefore most of the involvement is observed in the seromuscular layer. In seromuscular infiltration, resection of the rectosigmoid colon or shaving of tumoral implants without resection can be performed. There are advantages and disadvantages of each method in terms of morbidity. Although there are retrospective studies evaluating recurrence and survival between both methods, as far as investigators know, no randomized prospective studies have been conducted comparing these two methods. The investigators designed this study to compare these two methods successfully applied in our clinic in a prospective randomized study.",,Cukurova University,OTHER,PRINCIPAL_INVESTIGATOR,INTERVENTIONAL,,ESTIMATED,120.0,RANDOMIZED,PARALLEL,,TREATMENT,,,NONE,,,"Inclusion Criteria:

* Epithelial ovarian cancer
* Negative colonoscopy ( no mucosal involvement)
* Intraoperative confirmed serosal or seromuscular rectosigmoid infiltration
* ECOG \<3
* ASA \<3

Exclusion Criteria:

* Nonepithelial ovarian cancers
* Rectosigmoid mucosal infiltration
* Total or subtotal colectomy necessitating large bowel infiltrations
* ECOG \>2
* ASA \>2",False,FEMALE,18 Years,,,,RECRUITING,,2024-08,2021-03-01,ACTUAL,2020-11-30,2024-08-28,2026-12,ESTIMATED,,False,True,False,False,,,YES,,,,,2025-12-26,False,2024-08-29,,,,,,,,,,,
033de8ecc70c3005,NCT01073735,Investigating the Needs of Childhood Cancer Survivors: The Unreported Experience,Investigating the Needs of Childhood Cancer Survivors: The Unreported Experience,,INSURE,"This feasibility study will determine the psychometric adequacy of a newly developed instrument - Childhood Cancer Survivor Study Needs Assessment Questionnaire (CCSS-NAQ). Additionally, the study will explore the feasibility of selected study methods -- sample selection, length of time to complete recruitment, and response rates - in order to inform a larger national periodic survey of adult survivors' health related needs","This study will focus on the following primary and secondary objectives:

1. Examine the construct validity, short-term stability, internal consistency and item-response performance of a health-related needs assessment self-report instrument for adult childhood cancer survivors
2. Inform future sample stratification by over-sampling minority and rural-dwelling survivors to enhance the heterogeneity of the respondent pool;
3. Describe the met and unmet health-related needs and their covariates in a large, stratified, random sample of childhood cancer survivors;
4. Evaluate the sample selection methods, length of time to complete recruitment, and response rates in the study sample.",St. Jude Children's Research Hospital,OTHER,SPONSOR,OBSERVATIONAL,,ACTUAL,1178.0,,,,,COHORT,PROSPECTIVE,,,,"Inclusion Criteria:

1. Living CCSS participant
2. Age 25 years or older on December 31, 2009
3. History of successful independent (non-surrogate) response to previous CCSS surveys (Flesch-Kincaid reading level for non-medical items established at 4th-6th grade).

Exclusion Criteria:

Received treatment for pediatric malignancy at St. Jude Children's Research Hospital.",False,ALL,25 Years,,The study sample will be recruited from long-term childhood cancer survivors who are currently participating in the CCSS and whose pediatric malignancy was not treated at St. Jude Children's Research Hospital,PROBABILITY_SAMPLE,COMPLETED,,2012-02,2010-04,,2010-02-22,2012-02-08,2011-12,ACTUAL,,False,False,,,,,,,,,,2025-12-26,False,2012-02-09,,,,,,,,,,,
2ddc764fc00e37b6,NCT06138535,Evaluation of Digital Stabilizing Splint in Management of Masticatory Muscle Disorder,Evaluation of Digital Stabilizing Splint in Management of Masticatory Muscle Disorder,,AZJD-D-23-00044,"The goal of this clinical trial is to evaluate the digital stabilizing splint in management of masticatory muscle disorder. The main question it aims to answer are:

• is the digital stabilizing splint effective in treatment of masticatory muscle disorder signs and symptoms after 3 months follow up ? Participants will be asked to ware the splint and progressively increasing the duration of splint wear, starting from 8 hours per day for 3 months .","The current research was conducted for evaluation of the digital stabilizing splint in the management of masticatory muscle disorder. Subjects and Methods: Eight patients over the age of 18 with masticatory muscle disorders received treatment using a stabilizing splint that was digitally created. The Each patient's response to therapy modifications was assessed and compared before and after splint insertion for each patient subjective symptoms were assessed using a patient questionnaire that was repeated before treatment (baseline), one month, and 3 months post-insertion. Moreover, The masseter and temporalis muscles' electrical activity was measured using electromyography at baseline and after three months.post-splint insertion. Clinical signs such as mouth-opening lateral movements and protrusive movements were measured before and 3 months after the splint was inserted.",Al-Azhar University,OTHER,SPONSOR_INVESTIGATOR,INTERVENTIONAL,,ACTUAL,8.0,NA,SINGLE_GROUP,single arm group study,TREATMENT,,,NONE,,,"inclusion criteria

1-Anterior disc displacement without reduction or osteoarthritis cases 2-Pain and/or tenderness of masticatory muscles exclusion criteria

1. Absence of previous occlusal splint therapy.
2. Absence of apparent dental or periodontal diseases.
3. Patients having full or partial dentures that would compromise the support of an occlusal splint were excluded.
4. Patient taking analgesics, muscle relaxants, or Anti-inflammatory medications will not be included because they may affect the outcome.
5. Patients with multiple teeth loss that affects occlusal splint support were excluded.",False,ALL,18 Years,,,,COMPLETED,,2023-11,2022-09-30,ACTUAL,2023-11-14,2023-11-17,2023-11-10,ACTUAL,,False,True,False,False,,False,YES,Data may be obtained either from study investigators or via data-sharing repositories or platforms.,one yaer,Al-Azhar Journal of Dentistry,https://azjd.researchcommons.org/,2025-12-26,False,2023-11-18,,,,,,,,,,,
